Date,Location,PM2.5,NO2,SO2,AQI
2023-01-04 00:00:00,Chandigarh,222.54,88.12,,139.93166666666664
2023-01-04 00:00:00,Chennai,71.17,,35.38,103.81333333333333
2023-01-04 00:00:00,Coimbatore,213.28,,25.84,170.96555555555554
2023-01-04 00:00:00,Delhi,,72.85,,94.6
2023-01-04 00:00:00,Hyderabad,,44.94,,180.09666666666666
2023-01-04 00:00:00,Indore,299.51,,3.74,232.89833333333334
2023-01-04 00:00:00,Jaipur,165.8,,45.79,123.75875000000002
2023-01-04 00:00:00,Kochi,,90.87,,185.61944444444444
2023-01-04 00:00:00,Kolkata,,75.85,,75.85
2023-01-04 00:00:00,Lucknow,,78.87,,72.3375
2023-01-04 00:00:00,Madurai,,,43.92,130.38500000000002
2023-01-04 00:00:00,Mumbai,157.475,,,199.93277777777777
2023-01-04 00:00:00,Nagpur,171.975,97.52,27.555,182.381
2023-01-04 00:00:00,Nashik,209.64,54.3375,6.0200000000000005,157.926875
2023-01-04 00:00:00,Patna,134.06,96.29,34.3,88.72375000000001
2023-01-04 00:00:00,Pune,229.36,28.9,12.01,162.03
2023-01-04 00:00:00,Surat,,53.3,31.799999999999997,124.0166666666667
2023-01-05 00:00:00,Ahmedabad,,8.3,,53.975
2023-01-05 00:00:00,Bengaluru,151.42000000000002,,,126.29
2023-01-05 00:00:00,Bhopal,28.51,18.75,,29.76666666666667
2023-01-05 00:00:00,Chandigarh,195.135,73.14,,123.17375
2023-01-05 00:00:00,Chennai,86.435,,7.56,102.65833333333335
2023-01-05 00:00:00,Coimbatore,115.95,45.04,,80.495
2023-01-05 00:00:00,Delhi,98.4,,,167.535
2023-01-05 00:00:00,Hyderabad,,76.47,20.53,77.30166666666666
2023-01-05 00:00:00,Indore,,75.955,13.29,101.71375
2023-01-05 00:00:00,Jaipur,15.69,89.91499999999999,19.244999999999997,113.954
2023-01-05 00:00:00,Kochi,182.79250000000002,71.97333333333334,26.740000000000002,100.58895833333335
2023-01-05 00:00:00,Kolkata,173.71,86.155,31.215,91.1325
2023-01-05 00:00:00,Lucknow,,,,103.03
2023-01-05 00:00:00,Madurai,96.08,,,100.815
2023-01-05 00:00:00,Mumbai,73.39,,,171.05666666666664
2023-01-05 00:00:00,Nagpur,172.325,35.42666666666667,26.13,94.90791666666667
2023-01-05 00:00:00,Nashik,227.8,68.38,42.64,110.13
2023-01-05 00:00:00,Patna,78.66499999999999,73.63,26.86,162.43125
2023-01-05 00:00:00,Pune,221.335,75.395,21.253333333333334,108.29333333333334
2023-01-05 00:00:00,Surat,104.495,47.2,,72.92166666666667
2023-01-06 00:00:00,Ahmedabad,121.89,61.31333333333333,,70.7811111111111
2023-01-06 00:00:00,Bengaluru,,12.65,35.135000000000005,38.11833333333333
2023-01-06 00:00:00,Bhopal,288.44,,3.31,145.875
2023-01-06 00:00:00,Chandigarh,144.915,17.295,42.64333333333334,82.426
2023-01-06 00:00:00,Chennai,,,12.33,164.69333333333333
2023-01-06 00:00:00,Coimbatore,220.775,77.29,40.22,149.531
2023-01-06 00:00:00,Delhi,,,20.15,30.04
2023-01-06 00:00:00,Hyderabad,147.22000000000003,,17.44,75.85333333333334
2023-01-06 00:00:00,Indore,,5.58,,35.405
2023-01-06 00:00:00,Jaipur,64.52,76.195,14.549999999999999,55.488749999999996
2023-01-06 00:00:00,Kochi,181.92999999999998,80.37,,209.45875
2023-01-06 00:00:00,Kolkata,283.26,84.19,31.25,191.675
2023-01-06 00:00:00,Lucknow,,43.31,32.74,164.9
2023-01-06 00:00:00,Madurai,84.05333333333333,69.115,,157.54333333333332
2023-01-06 00:00:00,Mumbai,162.42999999999998,40.175,32.89,82.42624999999998
2023-01-06 00:00:00,Nagpur,,,25.075,104.94388888888888
2023-01-06 00:00:00,Nashik,194.25,,31.31,136.64875
2023-01-06 00:00:00,Patna,248.68,49.46333333333333,15.233333333333334,129.5126666666667
2023-01-06 00:00:00,Pune,182.93999999999997,,36.42,132.82333333333332
2023-01-06 00:00:00,Surat,,60.6,,88.185
2023-01-07 00:00:00,Ahmedabad,95.73,,,221.19333333333336
2023-01-07 00:00:00,Bengaluru,272.05,,31.79,120.80250000000001
2023-01-07 00:00:00,Bhopal,,50.96,29.21,69.20333333333333
2023-01-07 00:00:00,Chandigarh,195.05666666666664,,16.16,105.60833333333332
2023-01-07 00:00:00,Chennai,,,,161.4283333333333
2023-01-07 00:00:00,Coimbatore,,71.68333333333334,6.93,113.15833333333333
2023-01-07 00:00:00,Delhi,247.65,79.31,47.6,113.57125000000002
2023-01-07 00:00:00,Hyderabad,195.91333333333333,73.525,,187.20208333333332
2023-01-07 00:00:00,Indore,144.65,,38.525,96.93833333333333
2023-01-07 00:00:00,Jaipur,247.69,47.27,,107.97333333333331
2023-01-07 00:00:00,Kochi,132.496,45.35333333333333,9.96,88.61483333333334
2023-01-07 00:00:00,Kolkata,226.74,48.075,17.21,164.30900000000003
2023-01-07 00:00:00,Lucknow,,30.28,32.51,28.22666666666667
2023-01-07 00:00:00,Madurai,194.35666666666665,61.535,34.5,131.40133333333333
2023-01-07 00:00:00,Mumbai,,,,150.11
2023-01-07 00:00:00,Nagpur,,72.61500000000001,27.965,50.290000000000006
2023-01-07 00:00:00,Nashik,38.96,23.21,25.42,72.014
2023-01-07 00:00:00,Patna,172.49,,,93.78500000000001
2023-01-07 00:00:00,Pune,,,27.69,50.5
2023-01-07 00:00:00,Surat,,54.04,47.91,71.2175
2023-01-08 00:00:00,Ahmedabad,195.085,,27.73,150.58388888888888
2023-01-08 00:00:00,Bengaluru,187.07999999999998,82.43,,106.725
2023-01-08 00:00:00,Bhopal,112.95,47.9025,30.203333333333333,70.32816666666666
2023-01-08 00:00:00,Chandigarh,,,,154.17833333333334
2023-01-08 00:00:00,Chennai,185.99,61.34,28.85,109.83800000000001
2023-01-08 00:00:00,Coimbatore,64.69,38.565,34.9,46.05166666666667
2023-01-08 00:00:00,Delhi,149.77,70.21,,162.80875000000003
2023-01-08 00:00:00,Hyderabad,,32.03,26.990000000000002,114.27875
2023-01-08 00:00:00,Indore,239.81,,19.57,147.60250000000002
2023-01-08 00:00:00,Jaipur,,,,177.61
2023-01-08 00:00:00,Kochi,242.91,61.379999999999995,,191.865
2023-01-08 00:00:00,Kolkata,,,49.65,47.79
2023-01-08 00:00:00,Lucknow,69.42,66.61,,135.27791666666667
2023-01-08 00:00:00,Madurai,62.05,,24.52,72.0625
2023-01-08 00:00:00,Mumbai,172.82,31.985,23.13,114.575
2023-01-08 00:00:00,Nagpur,,20.57,,50.75
2023-01-08 00:00:00,Nashik,208.91,45.525000000000006,17.805,86.47916666666667
2023-01-08 00:00:00,Patna,21.61,87.28,26.650000000000002,51.43
2023-01-08 00:00:00,Pune,,82.015,,185.8825
2023-01-08 00:00:00,Surat,41.7,,25.97,43.77333333333333
2023-01-09 00:00:00,Ahmedabad,,86.295,19.81,109.44
2023-01-09 00:00:00,Bengaluru,83.34333333333333,69.39500000000001,32.08,90.18166666666666
2023-01-09 00:00:00,Bhopal,166.99,,26.7,78.2025
2023-01-09 00:00:00,Chandigarh,,44.175000000000004,20.72,40.458333333333336
2023-01-09 00:00:00,Chennai,199.64,50.959999999999994,40.68,131.70266666666666
2023-01-09 00:00:00,Coimbatore,132.125,22.04,,151.74374999999998
2023-01-09 00:00:00,Delhi,,,10.495,41.8825
2023-01-09 00:00:00,Hyderabad,,63.400000000000006,41.77666666666667,52.58833333333334
2023-01-09 00:00:00,Indore,207.96000000000004,,30.1,125.15500000000002
2023-01-09 00:00:00,Jaipur,,,4.255,36.169999999999995
2023-01-09 00:00:00,Kochi,142.62,,13.18,117.71333333333335
2023-01-09 00:00:00,Kolkata,161.83499999999998,59.93000000000001,,194.86374999999998
2023-01-09 00:00:00,Lucknow,170.2,93.81,,193.0666666666667
2023-01-09 00:00:00,Madurai,,72.54,23.2,100.19000000000001
2023-01-09 00:00:00,Mumbai,17.53,52.125,,69.04833333333333
2023-01-09 00:00:00,Nagpur,,,21.05,82.66666666666667
2023-01-09 00:00:00,Nashik,,,21.91,60.34666666666667
2023-01-09 00:00:00,Patna,77.99,,,77.99
2023-01-09 00:00:00,Pune,273.27,55.199999999999996,30.4075,155.122
2023-01-09 00:00:00,Surat,69.88,,48.99,118.89666666666666
2023-01-10 00:00:00,Ahmedabad,224.47500000000002,87.63,19.55,165.68
2023-01-10 00:00:00,Bengaluru,136.525,36.74,28.03333333333333,74.26208333333334
2023-01-10 00:00:00,Bhopal,,,32.221999999999994,65.21233333333333
2023-01-10 00:00:00,Chandigarh,133.53,,30.42,68.83333333333333
2023-01-10 00:00:00,Chennai,,46.32,26.67,79.8425
2023-01-10 00:00:00,Coimbatore,203.45,40.54,23.71166666666667,146.72541666666666
2023-01-10 00:00:00,Delhi,,,,218.625
2023-01-10 00:00:00,Hyderabad,,17.88,22.88,81.74000000000001
2023-01-10 00:00:00,Indore,114.6175,,31.46,149.18604166666668
2023-01-10 00:00:00,Jaipur,,39.54666666666667,,105.63222222222221
2023-01-10 00:00:00,Kochi,,74.25,4.68,95.78
2023-01-10 00:00:00,Kolkata,,23.03,24.01,73.10249999999999
2023-01-10 00:00:00,Lucknow,197.29000000000002,27.735,,87.78875000000001
2023-01-10 00:00:00,Madurai,,94.11500000000001,25.94,76.74944444444445
2023-01-10 00:00:00,Mumbai,212.11,83.71,29.590000000000003,183.35100000000003
2023-01-10 00:00:00,Nagpur,,99.05,,160.8166666666667
2023-01-10 00:00:00,Nashik,,43.55,7.8,25.674999999999997
2023-01-10 00:00:00,Patna,122.88666666666666,30.56,26.05666666666667,111.71566666666668
2023-01-10 00:00:00,Pune,,48.57,32.01,40.29
2023-01-10 00:00:00,Surat,56.254999999999995,22.36,,66.29374999999999
2023-01-11 00:00:00,Ahmedabad,,,,
2023-01-11 00:00:00,Bengaluru,270.71,30.576666666666668,37.09,126.81433333333332
2023-01-11 00:00:00,Bhopal,229.08,55.93,24.15,97.13499999999999
2023-01-11 00:00:00,Chandigarh,,43.325,10.3,122.51625000000001
2023-01-11 00:00:00,Chennai,,58.26,,140.9
2023-01-11 00:00:00,Coimbatore,190.23,,10.945,147.04874999999998
2023-01-11 00:00:00,Delhi,82.09,31.765,,76.075
2023-01-11 00:00:00,Hyderabad,,,4.41,184.91722222222222
2023-01-11 00:00:00,Indore,,57.980000000000004,,95.4211111111111
2023-01-11 00:00:00,Jaipur,215.29,,22.65,102.875
2023-01-11 00:00:00,Kochi,181.1,68.56,5.07,84.91
2023-01-11 00:00:00,Kolkata,227.8,56.9,2.7800000000000002,95.82666666666665
2023-01-11 00:00:00,Lucknow,271.52,,30.349999999999998,138.24666666666667
2023-01-11 00:00:00,Madurai,,54.989999999999995,,135.34666666666666
2023-01-11 00:00:00,Mumbai,,98.91,38.81,135.385
2023-01-11 00:00:00,Nagpur,219.54,76.27,19.310000000000002,158.92549999999997
2023-01-11 00:00:00,Nashik,214.1966666666667,65.19,,206.95166666666665
2023-01-11 00:00:00,Patna,,26.78,29.93,37.82
2023-01-11 00:00:00,Pune,,52.11000000000001,9.05,81.97041666666667
2023-01-11 00:00:00,Surat,105.78333333333335,42.16,,133.80333333333334
2023-01-12 00:00:00,Ahmedabad,254.19,,,199.00333333333333
2023-01-12 00:00:00,Bengaluru,234.835,,26.035000000000004,149.125
2023-01-12 00:00:00,Bhopal,,,25.479999999999997,61.28666666666667
2023-01-12 00:00:00,Chandigarh,,43.510000000000005,23.345,114.04875
2023-01-12 00:00:00,Chennai,173.495,,,297.8575
2023-01-12 00:00:00,Coimbatore,42.01,58.10999999999999,40.695,56.01125
2023-01-12 00:00:00,Delhi,145.1,39.92,,141.83625
2023-01-12 00:00:00,Hyderabad,63.01,86.72,15.23,87.7125
2023-01-12 00:00:00,Indore,248.42,52.260000000000005,5.57,130.322
2023-01-12 00:00:00,Jaipur,203.36333333333334,68.84,,117.18333333333335
2023-01-12 00:00:00,Kochi,145.10999999999999,35.815,40.43,91.472
2023-01-12 00:00:00,Kolkata,70.775,,,193.33999999999997
2023-01-12 00:00:00,Lucknow,189.125,,,137.1925
2023-01-12 00:00:00,Madurai,258.42,33.25,15.235,167.48708333333335
2023-01-12 00:00:00,Mumbai,171.19,51.52333333333333,26.61,83.10777777777777
2023-01-12 00:00:00,Nagpur,146.22,26.48,15.495,131.34875
2023-01-12 00:00:00,Nashik,284.41,55.0,,202.205
2023-01-12 00:00:00,Patna,,,,72.155
2023-01-12 00:00:00,Pune,,54.72,42.995000000000005,148.55124999999998
2023-01-12 00:00:00,Surat,81.18,,5.17,100.17687500000001
2023-01-13 00:00:00,Ahmedabad,273.48,,,251.40333333333334
2023-01-13 00:00:00,Bengaluru,,9.63,18.854999999999997,137.01833333333335
2023-01-13 00:00:00,Bhopal,270.16,42.99,,213.8625
2023-01-13 00:00:00,Chandigarh,129.15,40.795,,117.18583333333333
2023-01-13 00:00:00,Chennai,104.56333333333333,35.61,30.362000000000002,136.81258333333332
2023-01-13 00:00:00,Coimbatore,,32.67666666666667,,77.30888888888889
2023-01-13 00:00:00,Delhi,150.93,,,161.79833333333332
2023-01-13 00:00:00,Hyderabad,225.35,8.15,,95.78000000000002
2023-01-13 00:00:00,Indore,203.945,44.67666666666667,,179.8572222222222
2023-01-13 00:00:00,Jaipur,189.58,56.2875,25.405,115.02650000000001
2023-01-13 00:00:00,Kochi,147.495,79.85499999999999,38.63333333333333,86.26116666666668
2023-01-13 00:00:00,Kolkata,,84.45,,148.20416666666668
2023-01-13 00:00:00,Lucknow,152.21,,,121.58833333333332
2023-01-13 00:00:00,Madurai,180.82,57.43,,149.94222222222223
2023-01-13 00:00:00,Mumbai,203.5875,86.4,,244.78583333333333
2023-01-13 00:00:00,Nagpur,218.1966666666667,46.64,42.86,95.58733333333333
2023-01-13 00:00:00,Nashik,251.67,,32.43,178.7
2023-01-13 00:00:00,Patna,,11.684999999999999,10.28,26.92833333333333
2023-01-13 00:00:00,Pune,191.685,,9.98,227.17833333333337
2023-01-13 00:00:00,Surat,159.66500000000002,,31.77,173.90125
2023-01-14 00:00:00,Ahmedabad,39.77,,15.805,91.32208333333332
2023-01-14 00:00:00,Bengaluru,138.89,,8.74,127.84875
2023-01-14 00:00:00,Bhopal,,,43.83,43.83
2023-01-14 00:00:00,Chandigarh,132.88,,,260.26
2023-01-14 00:00:00,Chennai,156.79,,,156.79
2023-01-14 00:00:00,Coimbatore,290.11,19.1,33.26,114.15666666666668
2023-01-14 00:00:00,Delhi,,71.37,,139.95333333333335
2023-01-14 00:00:00,Hyderabad,297.26,60.72,,231.37
2023-01-14 00:00:00,Indore,101.00999999999999,,,133.87666666666667
2023-01-14 00:00:00,Jaipur,62.81,52.230000000000004,35.08,117.74000000000001
2023-01-14 00:00:00,Kochi,,,21.85,48.739999999999995
2023-01-14 00:00:00,Kolkata,219.285,28.535,19.060000000000002,130.52666666666667
2023-01-14 00:00:00,Lucknow,,43.05,32.21,37.629999999999995
2023-01-14 00:00:00,Madurai,285.63,21.8,,192.20583333333332
2023-01-14 00:00:00,Mumbai,68.5,,,81.965
2023-01-14 00:00:00,Nagpur,,69.51333333333334,,175.30277777777778
2023-01-14 00:00:00,Nashik,119.53666666666668,,,119.53666666666668
2023-01-14 00:00:00,Patna,227.36,,,118.71000000000001
2023-01-14 00:00:00,Pune,207.725,56.92,20.16,105.98875000000001
2023-01-14 00:00:00,Surat,150.775,73.78,25.22,88.33133333333333
2023-01-15 00:00:00,Ahmedabad,125.18,,15.06,89.515
2023-01-15 00:00:00,Bengaluru,200.83,55.6425,17.615000000000002,96.04549999999999
2023-01-15 00:00:00,Bhopal,139.105,,3.835,95.4075
2023-01-15 00:00:00,Chandigarh,,45.777499999999996,,45.777499999999996
2023-01-15 00:00:00,Chennai,,82.33500000000001,15.86,174.44875000000002
2023-01-15 00:00:00,Coimbatore,161.63,,4.71,140.13
2023-01-15 00:00:00,Delhi,126.46999999999998,,27.549999999999997,75.42333333333333
2023-01-15 00:00:00,Hyderabad,,53.062,16.81,82.43925
2023-01-15 00:00:00,Indore,244.82,74.44,,147.53
2023-01-15 00:00:00,Jaipur,,,34.53,159.33166666666668
2023-01-15 00:00:00,Kochi,,,1.72,159.465
2023-01-15 00:00:00,Kolkata,87.22500000000001,27.62,12.030000000000001,42.29166666666667
2023-01-15 00:00:00,Lucknow,139.305,93.03,,197.16541666666666
2023-01-15 00:00:00,Madurai,,38.33,26.735,120.13875
2023-01-15 00:00:00,Mumbai,224.3,,23.75,98.87875000000001
2023-01-15 00:00:00,Nagpur,115.74,49.029999999999994,39.81999999999999,150.82
2023-01-15 00:00:00,Nashik,155.56,36.739999999999995,9.809999999999999,92.28500000000001
2023-01-15 00:00:00,Patna,223.48,,38.13,130.805
2023-01-15 00:00:00,Pune,48.21,,2.41,56.64333333333334
2023-01-15 00:00:00,Surat,,46.52,23.849999999999998,36.54
2023-01-16 00:00:00,Ahmedabad,,,25.59,99.7225
2023-01-16 00:00:00,Bengaluru,,,19.490000000000002,45.8925
2023-01-16 00:00:00,Bhopal,252.16,,46.1,196.0666666666667
2023-01-16 00:00:00,Chandigarh,205.34,,12.09,83.55
2023-01-16 00:00:00,Chennai,103.31,8.62,35.705,72.607
2023-01-16 00:00:00,Coimbatore,247.76,89.75,,154.91666666666666
2023-01-16 00:00:00,Delhi,209.625,97.33,37.77,111.83375
2023-01-16 00:00:00,Hyderabad,163.425,15.6,18.39,71.321
2023-01-16 00:00:00,Indore,107.03,42.78,23.346666666666668,55.07633333333333
2023-01-16 00:00:00,Jaipur,221.92,,,340.46
2023-01-16 00:00:00,Kochi,24.43,29.42,31.44666666666667,97.21400000000001
2023-01-16 00:00:00,Kolkata,,,45.19,117.25833333333333
2023-01-16 00:00:00,Lucknow,97.45,,37.96,72.04333333333334
2023-01-16 00:00:00,Madurai,78.44,69.23333333333333,29.49,61.762666666666675
2023-01-16 00:00:00,Mumbai,,,18.676666666666666,114.52333333333333
2023-01-16 00:00:00,Nagpur,191.18666666666664,,42.46,105.35055555555554
2023-01-16 00:00:00,Nashik,122.79,88.42,17.64,76.28333333333335
2023-01-16 00:00:00,Patna,,32.6,5.365,31.655
2023-01-16 00:00:00,Pune,136.8,,28.39,110.21875
2023-01-16 00:00:00,Surat,,16.28,36.84,142.47333333333336
2023-01-17 00:00:00,Ahmedabad,67.055,47.67,8.756666666666666,94.49633333333334
2023-01-17 00:00:00,Bengaluru,192.17,44.0,1.31,90.52799999999999
2023-01-17 00:00:00,Bhopal,14.31,,21.51,93.29874999999998
2023-01-17 00:00:00,Chandigarh,298.47,60.303333333333335,5.48,127.56958333333334
2023-01-17 00:00:00,Chennai,171.06,41.072500000000005,20.07,151.69850000000002
2023-01-17 00:00:00,Coimbatore,254.41,29.36,,177.57916666666668
2023-01-17 00:00:00,Delhi,,86.17,26.91333333333333,127.07208333333334
2023-01-17 00:00:00,Hyderabad,,29.58,14.235,73.16125000000001
2023-01-17 00:00:00,Indore,,60.71,,156.61777777777777
2023-01-17 00:00:00,Jaipur,,37.71333333333333,,116.35666666666667
2023-01-17 00:00:00,Kochi,,33.195,16.585,64.28666666666668
2023-01-17 00:00:00,Kolkata,,41.305,30.186666666666667,42.213888888888896
2023-01-17 00:00:00,Lucknow,135.8,58.16,,112.36916666666667
2023-01-17 00:00:00,Madurai,142.95,14.81,,91.42833333333334
2023-01-17 00:00:00,Mumbai,103.2225,72.16,29.59,131.889375
2023-01-17 00:00:00,Nagpur,188.53,61.855000000000004,23.49,97.494
2023-01-17 00:00:00,Nashik,202.85,,,192.55333333333337
2023-01-17 00:00:00,Patna,,53.69,39.845,90.37291666666668
2023-01-17 00:00:00,Pune,295.77,63.47666666666667,30.91,130.05222222222224
2023-01-17 00:00:00,Surat,262.49,,37.065,144.45708333333337
2023-01-18 00:00:00,Ahmedabad,191.83499999999998,87.41,37.64,99.84625
2023-01-18 00:00:00,Bengaluru,181.31,43.59,,135.69333333333336
2023-01-18 00:00:00,Bhopal,,,30.48,142.97375
2023-01-18 00:00:00,Chandigarh,143.35500000000002,59.8,20.0225,124.12849999999999
2023-01-18 00:00:00,Chennai,,,,176.88583333333332
2023-01-18 00:00:00,Coimbatore,269.67999999999995,,26.97666666666667,144.41222222222223
2023-01-18 00:00:00,Delhi,244.14499999999998,,,207.785
2023-01-18 00:00:00,Hyderabad,158.31,12.5,34.625,67.69375
2023-01-18 00:00:00,Indore,170.88666666666666,32.01,46.99,67.64666666666666
2023-01-18 00:00:00,Jaipur,137.56,81.67,16.465,92.25625000000001
2023-01-18 00:00:00,Kochi,,,6.73,53.96
2023-01-18 00:00:00,Kolkata,67.55,78.24,29.02,62.8975
2023-01-18 00:00:00,Lucknow,243.45,39.605,,140.55833333333334
2023-01-18 00:00:00,Madurai,,38.655,31.315,67.24
2023-01-18 00:00:00,Mumbai,,84.66,34.56,123.86749999999999
2023-01-18 00:00:00,Nagpur,182.37,,37.11,167.53291666666667
2023-01-18 00:00:00,Nashik,235.99,83.96,21.6,111.35125
2023-01-18 00:00:00,Patna,227.9,,,169.26222222222222
2023-01-18 00:00:00,Pune,176.31,51.11,30.61,100.21300000000001
2023-01-18 00:00:00,Surat,281.24,,,180.52625
2023-01-19 00:00:00,Ahmedabad,188.72500000000002,,43.519999999999996,154.84625000000003
2023-01-19 00:00:00,Bengaluru,,,32.21,176.785
2023-01-19 00:00:00,Bhopal,,,22.34,119.57333333333335
2023-01-19 00:00:00,Chandigarh,95.68,55.099999999999994,26.96,107.16299999999998
2023-01-19 00:00:00,Chennai,,,,137.35
2023-01-19 00:00:00,Coimbatore,68.96,,,68.96
2023-01-19 00:00:00,Delhi,276.27,,,276.27
2023-01-19 00:00:00,Hyderabad,180.16,,35.5,101.66
2023-01-19 00:00:00,Indore,217.32999999999998,12.67,30.39,140.99599999999998
2023-01-19 00:00:00,Jaipur,289.26,96.49,4.25,165.568
2023-01-19 00:00:00,Kochi,181.24,33.22,,107.23
2023-01-19 00:00:00,Kolkata,,62.765,23.335,64.01916666666668
2023-01-19 00:00:00,Lucknow,86.4,,,240.53500000000003
2023-01-19 00:00:00,Madurai,,,21.76,52.875
2023-01-19 00:00:00,Mumbai,150.12,66.455,,195.95791666666668
2023-01-19 00:00:00,Nagpur,160.39,47.56,,133.21499999999997
2023-01-19 00:00:00,Nashik,109.92,81.42,30.634999999999998,99.05466666666666
2023-01-19 00:00:00,Patna,205.35000000000002,,5.85,173.705
2023-01-19 00:00:00,Pune,,40.18,36.08,40.62
2023-01-19 00:00:00,Surat,158.23,79.23,43.3,103.61200000000001
2023-01-20 00:00:00,Ahmedabad,124.08,27.52,30.53,110.62899999999999
2023-01-20 00:00:00,Bengaluru,207.1,41.99,11.6,150.59875
2023-01-20 00:00:00,Bhopal,,34.665,20.125,27.395
2023-01-20 00:00:00,Chandigarh,110.6,,6.550000000000001,64.99916666666667
2023-01-20 00:00:00,Chennai,,38.2,47.34,50.595
2023-01-20 00:00:00,Coimbatore,152.34,35.19,,116.56833333333333
2023-01-20 00:00:00,Delhi,,,,73.84
2023-01-20 00:00:00,Hyderabad,,28.11,27.77,102.11625
2023-01-20 00:00:00,Indore,194.18,,39.18,181.96333333333334
2023-01-20 00:00:00,Jaipur,,,,210.185
2023-01-20 00:00:00,Kochi,,,29.99666666666667,79.95555555555556
